Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1985,Huron,Sauger,0,,Piscivore
1985,Huron,Suckers,240,,Benthic omnivore
1985,Huron,Walleye,316,,Piscivore
1985,Huron,White Bass,25,,Piscivore
1985,Huron,White Perch,1,,Invertivore
1985,Huron,Yellow Perch,705,,Invertivore
1986,Huron,Buffalo,0,,Benthic omnivore
1986,Huron,Bullheads,4,,Benthic omnivore
1986,Huron,Burbot,32,,Piscivore
1986,Huron,Carp,904,,Benthic omnivore
1986,Huron,Channel Catfish,647,,Benthic omnivore
1986,Huron,Chubs,1104,,Planktivore
1986,Huron,Cisco,34,,Planktivore
1986,Huron,Crappies,11,,Invertivore
1986,Huron,Freshwater Drum,117,,Benthic invertivore
1986,Huron,Gizzard Shad,3,,Planktivore
1986,Huron,Lake Sturgeon,15,,Benthic invertivore
1986,Huron,Lake Trout,343,,Piscivore
1986,Huron,Lake Whitefish,5007,,Benthic invertivore
1986,Huron,Northern Pike,27,,Piscivore
1986,Huron,Pacific Salmon,18,,Piscivore
1986,Huron,Rainbow Smelt,23,,Planktivore
1986,Huron,Rock Bass,1,,Invertivore
1986,Huron,Round Whitefish,74,,Benthic invertivore
1986,Huron,Sauger,0,,Piscivore
1986,Huron,Suckers,260,,Benthic omnivore
1986,Huron,Walleye,307,,Piscivore
1986,Huron,White Bass,24,,Piscivore
1986,Huron,White Perch,1,,Invertivore
1986,Huron,Yellow Perch,660,,Invertivore
1987,Huron,Buffalo,1,,Benthic omnivore
1987,Huron,Bullheads,2,,Benthic omnivore
1987,Huron,Burbot,97,,Piscivore
1987,Huron,Carp,981,,Benthic omnivore
1987,Huron,Channel Catfish,599,,Benthic omnivore
1987,Huron,Chubs,1095,,Planktivore
1987,Huron,Cisco,53,,Planktivore
1987,Huron,Crappies,14,,Invertivore
1987,Huron,Freshwater Drum,100,,Benthic invertivore
1987,Huron,Gizzard Shad,1,,Planktivore
1987,Huron,Lake Sturgeon,14,,Benthic invertivore
1987,Huron,Lake Trout,285,,Piscivore
1987,Huron,Lake Whitefish,6118,,Benthic invertivore
1987,Huron,Northern Pike,21,,Piscivore
1987,Huron,Pacific Salmon,106,,Piscivore
1987,Huron,Rainbow Smelt,34,,Planktivore
1987,Huron,Rock Bass,1,,Invertivore
1987,Huron,Round Whitefish,59,,Benthic invertivore
1987,Huron,Sauger,0,,Piscivore
1987,Huron,Suckers,281,,Benthic omnivore
1987,Huron,Walleye,334,,Piscivore
1987,Huron,White Bass,19,,Piscivore
1987,Huron,White Perch,9,,Invertivore
1987,Huron,Yellow Perch,697,,Invertivore
1988,Huron,Buffalo,1,,Benthic omnivore
1988,Huron,Bullheads,3,,Benthic omnivore
1988,Huron,Burbot,67,,Piscivore
1988,Huron,Carp,689,,Benthic omnivore
1988,Huron,Channel Catfish,572,,Benthic omnivore
1988,Huron,Chubs,1653,,Planktivore
1988,Huron,Cisco,30,,Planktivore
1988,Huron,Crappies,11,,Invertivore
1988,Huron,Freshwater Drum,62,,Benthic invertivore
1988,Huron,Gizzard Shad,1,,Planktivore
1988,Huron,Lake Sturgeon,11,,Benthic invertivore
1988,Huron,Lake Trout,278,,Piscivore
1988,Huron,Lake Whitefish,5941,,Benthic invertivore
1988,Huron,Northern Pike,20,,Piscivore
1988,Huron,Pacific Salmon,338,,Piscivore
1988,Huron,Rainbow Smelt,68,,Planktivore
1988,Huron,Rock Bass,2,,Invertivore
1988,Huron,Round Whitefish,86,,Benthic invertivore
1988,Huron,Sauger,0,,Piscivore
1988,Huron,Suckers,321,,Benthic omnivore
1988,Huron,Walleye,367,,Piscivore
1988,Huron,White Bass,16,,Piscivore
1988,Huron,White Perch,10,,Invertivore
1988,Huron,Yellow Perch,655,,Invertivore
1989,Huron,Buffalo,10,,Benthic omnivore
1989,Huron,Bullheads,4,,Benthic omnivore
1989,Huron,Burbot,58,,Piscivore
1989,Huron,Carp,600,,Benthic omnivore
1989,Huron,Channel Catfish,744,,Benthic omnivore
1989,Huron,Chubs,1343,,Planktivore
1989,Huron,Cisco,48,,Planktivore
1989,Huron,Crappies,11,,Invertivore
1989,Huron,Freshwater Drum,87,,Benthic invertivore
1989,Huron,Gizzard Shad,2,,Planktivore
1989,Huron,Lake Sturgeon,16,,Benthic invertivore
1989,Huron,Lake Trout,260,,Piscivore
1989,Huron,Lake Whitefish,6209,,Benthic invertivore
1989,Huron,Northern Pike,18,,Piscivore
1989,Huron,Pacific Salmon,415,,Piscivore
1989,Huron,Rainbow Smelt,100,,Planktivore
1989,Huron,Rock Bass,3,,Invertivore
1989,Huron,Round Whitefish,88,,Benthic invertivore
1989,Huron,Sauger,0,,Piscivore
1989,Huron,Suckers,369,,Benthic omnivore
1989,Huron,Walleye,299,,Piscivore
1989,Huron,White Bass,27,,Piscivore
1989,Huron,White Perch,22,,Invertivore
1989,Huron,Yellow Perch,737,,Invertivore
1990,Huron,Buffalo,47,,Benthic omnivore
1990,Huron,Bullheads,6,,Benthic omnivore
1990,Huron,Burbot,57,,Piscivore
1990,Huron,Carp,523,,Benthic omnivore
1990,Huron,Channel Catfish,810,,Benthic omnivore
1990,Huron,Chubs,1388,,Planktivore
1990,Huron,Cisco,44,,Planktivore
1990,Huron,Crappies,6,,Invertivore
1990,Huron,Freshwater Drum,101,,Benthic invertivore
1990,Huron,Gizzard Shad,2,,Planktivore
1990,Huron,Lake Sturgeon,10,,Benthic invertivore
1990,Huron,Lake Trout,179,,Piscivore
1990,Huron,Lake Whitefish,5699,,Benthic invertivore
1990,Huron,Northern Pike,17,,Piscivore
1990,Huron,Pacific Salmon,318,,Piscivore
1990,Huron,Rainbow Smelt,59,,Planktivore
1990,Huron,Rock Bass,1,,Invertivore
1990,Huron,Round Whitefish,30,,Benthic invertivore
1990,Huron,Sauger,4,,Piscivore
1990,Huron,Suckers,329,,Benthic omnivore
1990,Huron,Walleye,327,,Piscivore
1990,Huron,White Bass,43,,Piscivore
1990,Huron,White Perch,48,,Invertivore
1990,Huron,Yellow Perch,652,,Invertivore
1991,Huron,Bullheads,2,,Benthic omnivore
1991,Huron,Burbot,34,,Piscivore
1991,Huron,Carp,288,,Benthic omnivore
1991,Huron,Channel Catfish,720,,Benthic omnivore
1991,Huron,Chubs,1312,,Planktivore
1991,Huron,Cisco,55,,Planktivore
1991,Huron,Crappies,3,,Invertivore
1991,Huron,Freshwater Drum,124,,Benthic invertivore
1991,Huron,Gizzard Shad,4,,Planktivore
1991,Huron,Lake Sturgeon,12,,Benthic invertivore
1991,Huron,Lake Trout,174,,Piscivore
1991,Huron,Lake Whitefish,6433,,Benthic invertivore
1991,Huron,Northern Pike,11,,Piscivore
1991,Huron,Pacific Salmon,426,,Piscivore
1991,Huron,Rainbow Smelt,33,,Planktivore
1991,Huron,Rock Bass,2,,Invertivore
1991,Huron,Round Whitefish,74,,Benthic invertivore
1991,Huron,Sauger,0,,Piscivore
1991,Huron,Suckers,339,,Benthic omnivore
1991,Huron,Walleye,322,,Piscivore
1991,Huron,White Bass,24,,Piscivore
1991,Huron,White Perch,17,,Invertivore
1991,Huron,Yellow Perch,767,,Invertivore
1992,Huron,Bullheads,2,,Benthic omnivore
1992,Huron,Burbot,27,,Piscivore
1992,Huron,Carp,142,,Benthic omnivore
1992,Huron,Channel Catfish,559,,Benthic omnivore
1992,Huron,Chubs,1394,,Planktivore
1992,Huron,Cisco,28,,Planktivore
1992,Huron,Crappies,3,,Invertivore
1992,Huron,Freshwater Drum,131,,Benthic invertivore
1992,Huron,Gizzard Shad,1,,Planktivore
1992,Huron,Lake Sturgeon,10,,Benthic invertivore
1992,Huron,Lake Trout,200,,Piscivore
1992,Huron,Lake Whitefish,6787,,Benthic invertivore
1992,Huron,Northern Pike,11,,Piscivore
1992,Huron,Pacific Salmon,539,,Piscivore
1992,Huron,Rainbow Smelt,13,,Planktivore
1992,Huron,Rock Bass,1,,Invertivore
1992,Huron,Round Whitefish,58,,Benthic invertivore
1992,Huron,Sauger,0,,Piscivore
1992,Huron,Suckers,245,,Benthic omnivore
1992,Huron,Walleye,296,,Piscivore
1992,Huron,White Bass,39,,Piscivore
1992,Huron,White Perch,12,,Invertivore
1992,Huron,Yellow Perch,472,,Invertivore
1993,Huron,Bullheads,0,,Benthic omnivore
1993,Huron,Burbot,21,,Piscivore
1993,Huron,Carp,106,,Benthic omnivore
1993,Huron,Channel Catfish,432,,Benthic omnivore
1993,Huron,Chubs,1540,,Planktivore
1993,Huron,Cisco,31,,Planktivore
1993,Huron,Crappies,0,,Invertivore
1993,Huron,Freshwater Drum,100,,Benthic invertivore
1993,Huron,Gizzard Shad,0,,Planktivore
1993,Huron,Lake Sturgeon,7,,Benthic invertivore
1993,Huron,Lake Trout,235,,Piscivore
1993,Huron,Lake Whitefish,7305,,Benthic invertivore
1993,Huron,Northern Pike,8,,Piscivore
1993,Huron,Pacific Salmon,598,Pink salmon for Canadian data,Piscivore
1993,Huron,Rainbow Smelt,83,,Planktivore
1993,Huron,Rock Bass,1,,Invertivore
1993,Huron,Round Whitefish,44,,Benthic invertivore
1993,Huron,Sauger,0,,Piscivore
1993,Huron,Suckers,188,,Benthic omnivore
1993,Huron,Walleye,484,,Piscivore
1993,Huron,White Bass,14,,Piscivore
1993,Huron,White Perch,4,,Invertivore
1993,Huron,Yellow Perch,285,,Invertivore
1994,Huron,Bullheads,1,,Benthic omnivore
1994,Huron,Burbot,5,,Piscivore
1994,Huron,Carp,73,,Benthic omnivore
1994,Huron,Channel Catfish,393,,Benthic omnivore
1994,Huron,Chubs,1562,,Planktivore
1994,Huron,Cisco,33,,Planktivore
1994,Huron,Crappies,0,,Invertivore
1994,Huron,Freshwater Drum,134,,Benthic invertivore
1994,Huron,Gizzard Shad,1,,Planktivore
1994,Huron,Lake Sturgeon,9,,Benthic invertivore
1994,Huron,Lake Trout,302,,Piscivore
1994,Huron,Lake Whitefish,7633,,Benthic invertivore
1994,Huron,Northern Pike,5,,Piscivore
1994,Huron,Pacific Salmon,405,Pink salmon for Canadian data,Piscivore
1994,Huron,Rainbow Smelt,32,,Planktivore
1994,Huron,Rock Bass,0,,Invertivore
1994,Huron,Round Whitefish,35,,Benthic invertivore
1994,Huron,Sauger,0,,Piscivore
1994,Huron,Suckers,149,,Benthic omnivore
1994,Huron,Walleye,373,,Piscivore
1994,Huron,White Bass,6,,Piscivore
1994,Huron,White Perch,5,,Invertivore
1994,Huron,Yellow Perch,390,,Invertivore
1995,Huron,Bullheads,0,,Benthic omnivore
1995,Huron,Burbot,9,,Piscivore
1995,Huron,Carp,32,,Benthic omnivore
1995,Huron,Channel Catfish,394,,Benthic omnivore
1995,Huron,Chubs,1254,,Planktivore
1995,Huron,Cisco,22,,Planktivore
1995,Huron,Crappies,0,,Invertivore
1995,Huron,Freshwater Drum,136,,Benthic invertivore
1995,Huron,Gizzard Shad,2,,Planktivore
1995,Huron,Lake Sturgeon,9,,Benthic invertivore
1995,Huron,Lake Trout,536,,Piscivore
1995,Huron,Lake Whitefish,8163,,Benthic invertivore
1995,Huron,Northern Pike,4,,Piscivore
1995,Huron,Pacific Salmon,513,Pink salmon for Canadian data,Piscivore
1995,Huron,Rainbow Smelt,41,,Planktivore
1995,Huron,Rock Bass,0,,Invertivore
1995,Huron,Round Whitefish,41,,Benthic invertivore
1995,Huron,Sauger,0,,Piscivore
1995,Huron,Suckers,125,,Benthic omnivore
1995,Huron,Walleye,242,,Piscivore
1995,Huron,White Bass,9,,Piscivore
1995,Huron,White Perch,8,,Invertivore
1995,Huron,Yellow Perch,271,,Invertivore
1996,Huron,Bullheads,1,,Benthic omnivore
1996,Huron,Burbot,14,,Piscivore
1996,Huron,Carp,22,,Benthic omnivore
1996,Huron,Channel Catfish,348,,Benthic omnivore
1996,Huron,Chubs,967,,Planktivore
1996,Huron,Cisco,27,,Planktivore
1996,Huron,Crappies,0,,Invertivore
1996,Huron,Freshwater Drum,146,,Benthic invertivore
1996,Huron,Gizzard Shad,1,,Planktivore
1996,Huron,Lake Sturgeon,10,,Benthic invertivore
1996,Huron,Lake Trout,655,,Piscivore
1996,Huron,Lake Whitefish,8717,,Benthic invertivore
1996,Huron,Northern Pike,4,,Piscivore
1996,Huron,Pacific Salmon,668,Pink salmon for Canadian data,Piscivore
1996,Huron,Rainbow Smelt,6,,Planktivore
1996,Huron,Rock Bass,1,,Invertivore
1996,Huron,Round Whitefish,30,,Benthic invertivore
1996,Huron,Sauger,0,,Piscivore
1996,Huron,Suckers,71,,Benthic omnivore
1996,Huron,Walleye,190,,Piscivore
1996,Huron,White Bass,7,,Piscivore
1996,Huron,White Perch,8,,Invertivore
1996,Huron,Yellow Perch,270,,Invertivore
1997,Huron,Bullheads,1,,Benthic omnivore
1997,Huron,Burbot,18,,Piscivore
1997,Huron,Carp,77,,Benthic omnivore
1997,Huron,Channel Catfish,414,,Benthic omnivore
1997,Huron,Chubs,1580,,Planktivore
1997,Huron,Cisco,28,,Planktivore
1997,Huron,Crappies,1,,Invertivore
1997,Huron,Freshwater Drum,206,,Benthic invertivore
1997,Huron,Gizzard Shad,2,,Planktivore
1997,Huron,Lake Sturgeon,12,,Benthic invertivore
1997,Huron,Lake Trout,514,,Piscivore
1997,Huron,Lake Whitefish,9486,,Benthic invertivore
1997,Huron,Northern Pike,2,,Piscivore
1997,Huron,Pacific Salmon,572,,Piscivore
1997,Huron,Quillback,57,,Benthic omnivore
1997,Huron,Rainbow Smelt,15,,Planktivore
1997,Huron,Rock Bass,0,,Invertivore
1997,Huron,Round Whitefish,38,,Benthic invertivore
1997,Huron,Sauger,0,,Piscivore
1997,Huron,Suckers,112,,Benthic omnivore
1997,Huron,Walleye,235,,Piscivore
1997,Huron,White Bass,4,,Piscivore
1997,Huron,White Perch,8,,Invertivore
1997,Huron,Yellow Perch,286,,Invertivore
1998,Huron,Bullheads,1,,Benthic omnivore
1998,Huron,Burbot,5,,Piscivore
1998,Huron,Carp,35,,Benthic omnivore
1998,Huron,Channel Catfish,278,,Benthic omnivore
1998,Huron,Chubs,841,,Planktivore
1998,Huron,Cisco,45,,Planktivore
1998,Huron,Crappies,3,,Invertivore
1998,Huron,Freshwater Drum,114,,Benthic invertivore
1998,Huron,Gizzard Shad,2,,Planktivore
1998,Huron,Lake Sturgeon,13,,Benthic invertivore
1998,Huron,Lake Trout,476,,Piscivore
1998,Huron,Lake Whitefish,9393,,Benthic invertivore
1998,Huron,Northern Pike,2,,Piscivore
1998,Huron,Pacific Salmon,317,,Piscivore
1998,Huron,Quillback,80,,Benthic omnivore
1998,Huron,Rainbow Smelt,9,,Planktivore
1998,Huron,Rock Bass,2,,Invertivore
1998,Huron,Round Whitefish,29,,Benthic invertivore
1998,Huron,Sauger,0,,Piscivore
1998,Huron,Suckers,58,,Benthic omnivore
1998,Huron,Walleye,227,,Piscivore
1998,Huron,White Bass,4,,Piscivore
1998,Huron,White Perch,1,,Invertivore
1998,Huron,Yellow Perch,361,,Invertivore
1999,Huron,Bullheads,1,,Benthic omnivore
1999,Huron,Burbot,4,,Piscivore
1999,Huron,Carp,26,,Benthic omnivore
1999,Huron,Channel Catfish,261,,Benthic omnivore
1999,Huron,Chubs,795,,Planktivore
1999,Huron,Cisco,44,,Planktivore
1999,Huron,Crappies,3,,Invertivore
1999,Huron,Freshwater Drum,116,,Benthic invertivore
1999,Huron,Gizzard Shad,2,,Planktivore
1999,Huron,Lake Sturgeon,13,,Benthic invertivore
1999,Huron,Lake Trout,502,,Piscivore
1999,Huron,Lake Whitefish,9342,,Benthic invertivore
1999,Huron,Northern Pike,3,,Piscivore
1999,Huron,Pacific Salmon,706,,Piscivore
1999,Huron,Quillback,91,,Benthic omnivore
1999,Huron,Rainbow Smelt,15,,Planktivore
1999,Huron,Rock Bass,2,,Invertivore
1999,Huron,Round Whitefish,50,,Benthic invertivore
1999,Huron,Sauger,0,,Piscivore
1999,Huron,Suckers,49,,Benthic omnivore
1999,Huron,Walleye,210,,Piscivore
1999,Huron,White Bass,6,,Piscivore
1999,Huron,White Perch,4,,Invertivore
1999,Huron,Yellow Perch,375,,Invertivore
2000,Huron,Buffalo,0,,Benthic omnivore
2000,Huron,Bullheads,3,,Benthic omnivore
2000,Huron,Burbot,1,,Piscivore
2000,Huron,Carp,36,,Benthic omnivore
2000,Huron,Channel Catfish,257,,Benthic omnivore
2000,Huron,Chubs,300.618,,Planktivore
2000,Huron,Cisco,85.324,,Planktivore
2000,Huron,Crappies,2,,Invertivore
2000,Huron,Freshwater Drum,83,,Benthic invertivore
2000,Huron,Gizzard Shad,1,,Planktivore
2000,Huron,Lake Sturgeon,13,,Benthic invertivore
2000,Huron,Lake Trout,574.466,,Piscivore
2000,Huron,Lake Whitefish,9759,,Benthic invertivore
2000,Huron,Northern Pike,3,,Piscivore
2000,Huron,Pacific Salmon,474.712,"For Canadian data Chinook, Coho and Pink salmon; for U.S. data Chinook salmon",Piscivore
2000,Huron,Quillback,63,,Benthic omnivore
2000,Huron,Rainbow Smelt,3,,Planktivore
2000,Huron,Rock Bass,2,,Invertivore
2000,Huron,Round Whitefish,72.062,,Benthic invertivore
2000,Huron,Suckers,29,,Benthic omnivore
2000,Huron,Walleye,207.475,,Piscivore
2000,Huron,White Bass,2,,Piscivore
2000,Huron,White Perch,5,,Invertivore
2000,Huron,Yellow Perch,401,,Invertivore
2001,Huron,Buffalo,0,,Benthic omnivore
2001,Huron,Bullheads,2,,Benthic omnivore
2001,Huron,Burbot,1,,Piscivore
2001,Huron,Carp,36,,Benthic omnivore
2001,Huron,Channel Catfish,301,,Benthic omnivore
2001,Huron,Chubs,143.04,,Planktivore
2001,Huron,Cisco,57.976,,Planktivore
2001,Huron,Crappies,1,,Invertivore
2001,Huron,Freshwater Drum,79,,Benthic invertivore
2001,Huron,Gizzard Shad,1,,Planktivore
2001,Huron,Lake Sturgeon,12,,Benthic invertivore
2001,Huron,Lake Trout,635.551,,Piscivore
2001,Huron,Lake Whitefish,9449,,Benthic invertivore
2001,Huron,Northern Pike,3,,Piscivore
2001,Huron,Pacific Salmon,327.25,For Canadian Chinook and Pink salmon; for U.S. data Chinook salmon.,Piscivore
2001,Huron,Quillback,74,,Benthic omnivore
2001,Huron,Rainbow Smelt,1,,Planktivore
2001,Huron,Rock Bass,2,,Invertivore
2001,Huron,Round Whitefish,79.397,,Benthic invertivore
2001,Huron,Suckers,22,,Benthic omnivore
2001,Huron,Walleye,251.172,,Piscivore
2001,Huron,White Bass,2,,Piscivore
2001,Huron,White Perch,6,,Invertivore
2001,Huron,Yellow Perch,461,,Invertivore
2002,Huron,Buffalo,61,,Benthic omnivore
2002,Huron,Bullheads,1,,Benthic omnivore
2002,Huron,Burbot,3,,Piscivore
2002,Huron,Carp,24,,Benthic omnivore
2002,Huron,Channel Catfish,274,,Benthic omnivore
2002,Huron,Chubs,79.42,,Planktivore
2002,Huron,Cisco,39.202,,Planktivore
2002,Huron,Crappies,1,,Invertivore
2002,Huron,Freshwater Drum,86,,Benthic invertivore
2002,Huron,Gizzard Shad,1,,Planktivore
2002,Huron,Lake Sturgeon,15,,Benthic invertivore
2002,Huron,Lake Trout,750.508,,Piscivore
2002,Huron,Lake Whitefish,8624,,Benthic invertivore
2002,Huron,Northern Pike,3,,Piscivore
2002,Huron,Pacific Salmon,234.836,"For Canadian data Chinook, Coho and Pink salmon; for U.S. data Chinook salmon",Piscivore
2002,Huron,Quillback,78,,Benthic omnivore
2002,Huron,Rainbow Smelt,3,,Planktivore
2002,Huron,Rock Bass,2,,Invertivore
2002,Huron,Round Whitefish,65.521,,Benthic invertivore
2002,Huron,Suckers,24,,Benthic omnivore
2002,Huron,Walleye,192.477,,Piscivore
2002,Huron,White Bass,2,,Piscivore
2002,Huron,White Perch,3,,Invertivore
2002,Huron,Yellow Perch,380,,Invertivore
2003,Huron,Buffalo,27,,Benthic omnivore
2003,Huron,Bullheads,1,,Benthic omnivore
2003,Huron,Burbot,0,,Piscivore
2003,Huron,Carp,17,,Benthic omnivore
2003,Huron,Channel Catfish,179,,Benthic omnivore
2003,Huron,Chubs,45,,Planktivore
2003,Huron,Cisco,47.612,,Planktivore
2003,Huron,Crappies,0,,Invertivore
2003,Huron,Freshwater Drum,84,,Benthic invertivore
2003,Huron,Gizzard Shad,28,,Planktivore
2003,Huron,Lake Sturgeon,16,,Benthic invertivore
2003,Huron,Lake Trout,835.175,,Piscivore
2003,Huron,Lake Whitefish,8272,,Benthic invertivore
2003,Huron,Northern Pike,3,,Piscivore
2003,Huron,Pacific Salmon,245.634,For Canadian data Chinook and Pink salmon; for U.S. data Chinook and Coho salmon,Piscivore
2003,Huron,Quillback,119,,Benthic omnivore
2003,Huron,Rainbow Smelt,1,,Planktivore
2003,Huron,Rock Bass,1,,Invertivore
2003,Huron,Round Whitefish,54.285,,Benthic invertivore
2003,Huron,Suckers,37,,Benthic omnivore
2003,Huron,Walleye,195.259,,Piscivore
2003,Huron,White Bass,5,,Piscivore
2003,Huron,White Perch,3,,Invertivore
2003,Huron,Yellow Perch,157,,Invertivore
2004,Huron,Buffalo,9,,Benthic omnivore
2004,Huron,Bullheads,1,,Benthic omnivore
2004,Huron,Burbot,2,,Piscivore
2004,Huron,Carp,40,,Benthic omnivore
2004,Huron,Channel Catfish,245,,Benthic omnivore
2004,Huron,Chubs,24,,Planktivore
2004,Huron,Cisco,62.013,,Planktivore
2004,Huron,Crappies,1,,Invertivore
2004,Huron,Freshwater Drum,108,,Benthic invertivore
2004,Huron,Gizzard Shad,29,,Planktivore
2004,Huron,Lake Sturgeon,13,,Benthic invertivore
2004,Huron,Lake Trout,1019.562,,Piscivore
2004,Huron,Lake Whitefish,7760,,Benthic invertivore
2004,Huron,Northern Pike,5,,Piscivore
2004,Huron,Pacific Salmon,200.301,For Canadian and U.S. data Chinook salmon.,Piscivore
2004,Huron,Quillback,98,,Benthic omnivore
2004,Huron,Rainbow Smelt,0,,Planktivore
2004,Huron,Rock Bass,2,,Invertivore
2004,Huron,Round Whitefish,138.332,,Benthic invertivore
2004,Huron,Suckers,22,,Benthic omnivore
2004,Huron,Walleye,197.713,,Piscivore
2004,Huron,White Bass,3,,Piscivore
2004,Huron,White Perch,4,,Invertivore
2004,Huron,Yellow Perch,149,,Invertivore
2005,Huron,Buffalo,8,,Benthic omnivore
2005,Huron,Bullheads,1,,Benthic omnivore
2005,Huron,Burbot,2,,Piscivore
2005,Huron,Carp,36,,Benthic omnivore
2005,Huron,Channel Catfish,127,,Benthic omnivore
2005,Huron,Chubs,0,,Planktivore
2005,Huron,Cisco,32.978,,Planktivore
2005,Huron,Crappies,1,,Invertivore
2005,Huron,Freshwater Drum,80,,Benthic invertivore
2005,Huron,Gizzard Shad,15,,Planktivore
2005,Huron,Lake Sturgeon,9,,Benthic invertivore
2005,Huron,Lake Trout,830.532,,Piscivore
2005,Huron,Lake Whitefish,7269,,Benthic invertivore
2005,Huron,Northern Pike,1,,Piscivore
2005,Huron,Pacific Salmon,172.996,"For Canadian data Chinook, Coho and Pink salmon; for U.S. data Chinook salmon.",Piscivore
2005,Huron,Quillback,42,,Benthic omnivore
2005,Huron,Rainbow Smelt,1,,Planktivore
2005,Huron,Rock Bass,2,,Invertivore
2005,Huron,Round Whitefish,32.835,,Benthic invertivore
2005,Huron,Suckers,28,,Benthic omnivore
2005,Huron,Walleye,140.65,,Piscivore
2005,Huron,White Bass,1,,Piscivore
2005,Huron,White Perch,6,,Invertivore
2005,Huron,Yellow Perch,102,,Invertivore
2006,Huron,Buffalo,1,,Benthic omnivore
2006,Huron,Bullheads,1,,Benthic omnivore
2006,Huron,Burbot,2,,Piscivore
2006,Huron,Carp,39,,Benthic omnivore
2006,Huron,Channel Catfish,147,,Benthic omnivore
2006,Huron,Chubs,0,,Planktivore
2006,Huron,Cisco,34.974,,Planktivore
2006,Huron,Crappies,0,,Invertivore
2006,Huron,Freshwater Drum,87,,Benthic invertivore
2006,Huron,Gizzard Shad,32,,Planktivore
2006,Huron,Lake Sturgeon,9,,Benthic invertivore
2006,Huron,Lake Trout,814.382,,Piscivore
2006,Huron,Lake Whitefish,8058,,Benthic invertivore
2006,Huron,Northern Pike,1,,Piscivore
2006,Huron,Pacific Salmon,204.374,For Canadian and U.S. data Chinook and Pink salmon.,Piscivore
2006,Huron,Quillback,22,,Benthic omnivore
2006,Huron,Rainbow Smelt,0,,Planktivore
2006,Huron,Rock Bass,3,,Invertivore
2006,Huron,Round Whitefish,46.151,,Benthic invertivore
2006,Huron,Suckers,13,,Benthic omnivore
2006,Huron,Walleye,241.332,,Piscivore
2006,Huron,White Bass,7,,Piscivore
2006,Huron,White Perch,6,,Invertivore
2006,Huron,Yellow Perch,275,,Invertivore
2007,Huron,Buffalo,7,,Benthic omnivore
2007,Huron,Bullheads,1,,Benthic omnivore
2007,Huron,Burbot,0,,Piscivore
2007,Huron,Carp,26,,Benthic omnivore
2007,Huron,Channel Catfish,154,,Benthic omnivore
2007,Huron,Chubs,2,,Planktivore
2007,Huron,Cisco,34.438,,Planktivore
2007,Huron,Crappies,1,,Invertivore
2007,Huron,Freshwater Drum,99,,Benthic invertivore
2007,Huron,Gizzard Shad,0,,Planktivore
2007,Huron,Lake Sturgeon,10,,Benthic invertivore
2007,Huron,Lake Trout,830.978,,Piscivore
2007,Huron,Lake Whitefish,7138,,Benthic invertivore
2007,Huron,Northern Pike,2,,Piscivore
2007,Huron,Pacific Salmon,84.613,For Canadian data Chinook and Pink salmon.,Piscivore
2007,Huron,Quillback,66,,Benthic omnivore
2007,Huron,Rainbow Smelt,0,,Planktivore
2007,Huron,Rock Bass,3,,Invertivore
2007,Huron,Round Whitefish,21.875,,Benthic invertivore
2007,Huron,Suckers,20,,Benthic omnivore
2007,Huron,Walleye,232.579,,Piscivore
2007,Huron,White Bass,15,,Piscivore
2007,Huron,White Perch,9,,Invertivore
2007,Huron,Yellow Perch,328.877,,Invertivore
2008,Huron,Bowfin,0.006,,Piscivore
2008,Huron,Buffalo,4,,Benthic omnivore
2008,Huron,Bullheads,0,,Benthic omnivore
2008,Huron,Burbot,0,,Piscivore
2008,Huron,Carp,15,,Benthic omnivore
2008,Huron,Channel Catfish,114,,Benthic omnivore
2008,Huron,Chubs,0,,Planktivore
2008,Huron,Cisco,21.963,,Planktivore
2008,Huron,Crappies,0,,Invertivore
2008,Huron,Freshwater Drum,33,,Benthic invertivore
2008,Huron,Gizzard Shad,6,,Planktivore
2008,Huron,Lake Sturgeon,11,,Benthic invertivore
2008,Huron,Lake Trout,737.887,,Piscivore
2008,Huron,Lake Whitefish,7590,,Benthic invertivore
2008,Huron,Northern Pike,2,,Piscivore
2008,Huron,Pacific Salmon,139.471,"Canadian data includes Chinook, Coho, and Pink salmon; U.S. data includes only Chinook Salmon. ",Piscivore
2008,Huron,Quillback,31,,Benthic omnivore
2008,Huron,Rainbow Smelt,0,,Planktivore
2008,Huron,Rock Bass,1,,Invertivore
2008,Huron,Round Whitefish,6.104,,Benthic invertivore
2008,Huron,Suckers,17,,Benthic omnivore
2008,Huron,Walleye,238.793,,Piscivore
2008,Huron,White Bass,11,,Piscivore
2008,Huron,White Perch,3,,Invertivore
2008,Huron,Yellow Perch,308.072,,Invertivore
2009,Huron,Bowfin,,,Piscivore
2009,Huron,Buffalo,9,,Benthic omnivore
2009,Huron,Bullheads,0,,Benthic omnivore
2009,Huron,Burbot,0,,Piscivore
2009,Huron,Carp,17,,Benthic omnivore
2009,Huron,Channel Catfish,139,,Benthic omnivore
2009,Huron,Chubs,0,,Planktivore
2009,Huron,Cisco,31.247,,Planktivore
2009,Huron,Crappies,0,,Invertivore
2009,Huron,Freshwater Drum,39,,Benthic invertivore
2009,Huron,Gizzard Shad,0,,Planktivore
2009,Huron,Lake Sturgeon,4,,Benthic invertivore
