Date,A,B,,
6/4/15 8:15,17.33,0,0.3,0
6/4/15 19:30,14.05,0,94.1,0
6/4/15 19:45,13.97,0,94.2,0
6/4/15 20:00,13.87,0,94.3,0
6/4/15 20:15,13.78,0,94.5,0
6/4/15 20:30,13.69,0,94.7,0
6/4/15 20:45,13.59,0,94.8,0
6/4/15 21:00,13.49,0,95.1,0
6/4/15 21:15,13.39,0,95.3,0
6/4/15 21:30,13.29,0,95.4,0
6/4/15 21:45,13.19,0,95.4,0
6/4/15 11:45,14.33,0,92.4,0
6/4/15 12:00,14.51,0,91.5,0
6/4/15 12:15,14.69,0,91.6,0
6/4/15 12:30,14.83,0,91.6,0
6/4/15 12:45,15,0,91.6,0
6/4/15 13:00,15.13,0,91.6,0
6/4/15 13:15,15.26,0,91.7,0
6/4/15 13:30,15.35,0,91.7,0
6/4/15 13:45,15.44,0,91.7,0
6/4/15 14:00,15.51,0,91.9,0
6/4/15 14:15,15.55,0,92,0
6/4/15 14:30,15.57,0,92.1,0
6/4/15 14:45,15.58,0,92.1,0
6/4/15 15:00,15.56,0,92.2,0
6/4/15 15:15,15.51,0,92.3,0
6/4/15 15:30,15.46,0,92.4,0
6/4/15 15:45,15.38,0,92.6,0
6/4/15 16:00,15.31,0,92.7,0
6/4/15 16:15,15.23,0,92.8,0
6/4/15 16:30,15.14,0,92.8,0
6/4/15 16:45,15.05,0,92.9,0
6/4/15 17:00,14.97,0,93,0
6/4/15 17:15,14.88,0,93.2,0
6/4/15 17:30,14.79,0,93.3,0
6/4/15 17:45,14.7,0,93.4,0
6/4/15 18:00,14.61,0,93.6,0
6/4/15 18:15,14.51,0,93.6,0
6/4/15 8:30,10.77,0,91.7,0
6/4/15 8:45,10.98,0,91.7,0
6/4/15 9:00,11.26,0,91.8,0
6/4/15 9:15,11.54,0,91.8,0
6/4/15 9:30,11.84,0,92,0
6/4/15 9:45,12.17,0,92.1,0
6/4/15 10:00,12.51,0,92.2,0
6/4/15 10:15,12.83,0,92.2,0
6/4/15 10:30,13.12,0,92.3,0
6/4/15 10:45,13.38,0,92.4,0
6/4/15 11:00,13.63,0,92.4,0
6/4/15 11:15,13.87,0,92.2,0
6/4/15 11:30,14.12,0,92.3,0
6/4/15 19:15,14.14,0,93.9,0
6/4/15 18:30,14.42,0,93.6,0
6/4/15 18:45,14.32,0,93.8,0
6/4/15 19:00,14.23,0,93.9,0
6/4/15 22:00,13.09,0,95.5,0
6/4/15 23:15,12.61,0,95.9,0
6/4/15 23:30,12.51,0,96.7,0
6/4/15 23:45,12.42,0,97,0
6/5/15 0:00,12.34,0,96.9,0
6/5/15 0:15,12.25,0,97.1,0
6/5/15 0:30,12.16,0,97.1,0
6/5/15 0:45,12.09,0,97.1,0
6/5/15 1:00,12.01,0,97.3,0
6/5/15 1:15,11.94,0,97.4,0
6/4/15 22:15,12.99,0,95.7,0
6/4/15 22:30,12.89,0,95.6,0
6/4/15 22:45,12.8,0,95.7,0
6/4/15 23:00,12.7,0,95.7,0
6/5/15 2:30,11.61,0,97.6,0
6/5/15 2:45,11.55,0,97.8,0
6/5/15 3:00,11.49,0,97.8,0
6/5/15 3:15,11.44,0,97.8,0
6/5/15 3:30,11.39,0,97.9,0
6/5/15 3:45,11.36,0,98,0
6/5/15 4:00,11.33,0,98.2,0
6/5/15 4:15,11.3,0,98.1,0
6/5/15 4:30,11.28,0,98.1,0
6/5/15 1:30,11.87,0,97.6,0
6/5/15 1:45,11.8,0,97.7,0
6/5/15 2:00,11.74,0,97.6,0
6/5/15 2:15,11.68,0,97.7,0
6/5/15 5:45,11.31,0,98.6,0
6/5/15 6:00,11.4,0,98.6,0
6/5/15 6:15,11.46,0,98.7,0
6/5/15 6:30,11.55,0,98.6,0
6/5/15 6:45,11.64,0,98.6,0
6/5/15 7:00,11.72,0,98.8,0
6/5/15 7:15,11.79,0,97.9,0
6/5/15 7:30,11.84,0,97.8,0
6/5/15 7:45,11.98,0,98,0
6/5/15 8:00,12.07,0,98,0
6/5/15 8:15,12.21,0,98.1,0
6/5/15 8:30,12.35,0,98,0
6/5/15 8:45,12.57,0,98.1,0
6/5/15 9:00,12.78,0,98,0
6/5/15 9:15,12.99,0,98.1,0
6/5/15 9:30,13.05,0,98.1,0
6/5/15 9:45,13.04,0,97.9,0
6/5/15 10:00,13.12,0,97.8,0
6/5/15 10:15,13.28,0,97.7,0
6/5/15 10:30,13.64,0,97.7,0
6/5/15 10:45,14.03,0,97.7,0
6/5/15 11:00,14.41,0,97.8,0
6/5/15 11:15,14.5,0,97.9,0
6/5/15 11:30,14.54,0,97.9,0
6/5/15 11:45,14.68,0,98,0
6/5/15 12:00,14.78,0,98,0
6/5/15 12:15,14.81,0,98,0
6/5/15 12:30,14.87,0,97.9,0
6/5/15 12:45,14.88,0,98.1,0
6/5/15 13:00,14.79,0,98.1,0
6/5/15 13:15,14.73,0,98.1,0
6/5/15 13:30,14.68,0,98.1,0
6/5/15 13:45,14.65,0,98.2,0
6/5/15 14:00,14.63,0,98.1,0
6/5/15 14:15,14.66,0,98.2,0
6/5/15 14:30,14.7,0,98.1,0
6/5/15 4:45,11.26,0,98.3,0
6/5/15 5:00,11.26,0,98.3,0
6/5/15 5:15,11.28,0,98.5,0
6/5/15 5:30,11.31,0,98.5,0
6/5/15 15:30,14.59,0,98.3,0
6/5/15 15:45,14.64,0,98.3,0
6/5/15 16:00,14.71,0,98.3,0
6/5/15 16:15,14.73,0,98.3,0
6/5/15 16:30,14.73,0,98.3,0
6/5/15 16:45,14.72,0,98.4,0
6/5/15 17:00,14.68,0,98.5,0
6/5/15 17:15,14.62,0,98.6,0
